,Title,Published_date,Views,Likes,Dislikes,Comments,Month
1918,TPP intense GAMEPLAYS | PUBG MOBILE,2018-12-27,283502,12016,0,81,Dec
1919,TPP intense GAMEPLAYS | PUBG MOBILE,2018-12-27,49769,2590,0,19,Dec
1920,TPP intense GAMEPLAYS | PUBG MOBILE,2018-12-27,139843,10630,0,37,Dec
1921,TPP intense GAMEPLAYS | PUBG MOBILE,2018-12-26,215740,8509,0,110,Dec
1922,TPP + FPP  intense GAMEPLAYS | PUBG MOBILE,2018-12-26,193033,12779,0,51,Dec
1923,TPP + FPP  intense GAMEPLAYS | PUBG MOBILE,2018-12-26,142605,5880,0,31,Dec
1924,TPP + FPP GAMEPLAYS | PUBG MOBILE,2018-12-25,253370,9871,0,94,Dec
1925,WE ARE BACK | SouL CLAN | PUBG MOBILE,2018-12-24,188041,8356,0,136,Dec
1926,WE ARE BACK | SouL CLAN | PUBG MOBILE,2018-12-24,118216,5145,0,65,Dec
1927,Intense TPP battles with SOUL CLAN | PUBG MOBILE,2018-12-20,248336,6062,0,270,Dec
1928,PowerBang + MortaL + Rolex ( PUBGM ),2018-12-20,269354,8677,0,697,Dec
1929,PUBG M with SOUL CLAN,2018-12-19,151592,6619,0,82,Dec
1930,Mini Militia with SOUL,2018-12-19,1524134,44735,0,1139,Dec
1931,SouLdiers are back | PUBG MOBILE,2018-12-19,132210,4327,0,38,Dec
1932,LO + SouL + 8Bit | PUBG MOBILE,2018-12-19,135977,3850,0,198,Dec
1933,FPP intensifies | PUBG MOBILE,2018-12-18,115468,3447,0,75,Dec
1934,TPP with SouL Clan | PUBG MOBILE,2018-12-17,251071,7657,0,85,Dec
1935,TPP with SouL Clan | PUBG MOBILE,2018-12-17,96167,3288,0,47,Dec
1936,Sunday Dhamal with SouLmates xD  | PUBG Mobile,2018-12-16,272664,7891,0,94,Dec
1937,TPP and FPP Intense GamePlays | PUBG Mobile,2018-12-15,204104,7456,0,64,Dec
1938,TPP Intense GamePlays | PUBG Mobile,2018-12-15,259016,8355,0,35,Dec
1939,FPP PRACTICE AND Intense GamePlays | PUBG Mobile,2018-12-14,161687,4314,0,84,Dec
1940,PUBG Comedy Central | Pubg Mobile,2018-12-14,595612,33360,0,1609,Dec
1941,Intense GamePlays FT SouL Clan SESSION | PUBG Mobile,2018-12-14,207625,6921,0,98,Dec
1942,Intense GamePlays FT SouL Clan AFTERNOON SESSION | PUBG Mobile,2018-12-13,215419,6493,0,110,Dec
1943,Intense GamePlays FT SouL Clan NIGHT SESSION | PUBG Mobile,2018-12-12,186067,5288,0,86,Dec
1944,Intense GamePlays FT SouL Clan AFTERNOON SESSION | PUBG Mobile,2018-12-12,181254,5675,0,65,Dec
1945,Intense GamePlays FT SouL Clan | PUBG Mobile,2018-12-11,210451,6693,0,62,Dec
1946,Intense GamePlays FT SouL Clan | PUBG Mobile,2018-12-11,216097,6586,0,48,Dec
1947,23 Kills Stream Highlights. Beast Mode on | Pubg Mobile High League Classic Gameplay,2018-12-11,2676518,52144,0,1497,Dec
1948,Intense GamePlays Night Stream FT SouL Clan | PUBG Mobile,2018-12-10,238231,7959,0,67,Dec
1949,Intense GamePlays FT SouL Clan | PUBG Mobile,2018-12-10,190230,7634,0,65,Dec
1950,TPP with MortaL and SouL Clan | PUBG MOBILE,2018-12-09,195579,6026,0,61,Dec
1951,ONE FPP ONE TPP by MortaL and SouL Clan / PUBG MOBILE INTENSE GAMEPLAYS,2018-12-09,202355,8451,0,49,Dec
1952,TPP by MortaL and SouL Clan / PUBG MOBILE Conqueror LEAGUE GAMEPLAYS,2018-12-08,168281,7809,0,99,Dec
1953,CLUTCH.exe | PUBG MOBILE,2018-12-08,203844,11825,0,1720,Dec
1954,TPP by MortaL and SouL Clan / PUBG MOBILE Conqueror LEAGUE GAMEPLAYS,2018-12-07,202314,6648,0,130,Dec
1955,FPP by MortaL and SouL Clan / PUBG MOBILE Push to Conqueror,2018-12-07,136402,4062,0,38,Dec
1956,TPP by MortaL and SouL Clan / PUBG MOBILE CONQUEROR LEAGUE GAMEPLAYS,2018-12-06,192236,6283,0,118,Dec
1957,FPP by MortaL and SouL Clan / PUBG MOBILE,2018-12-06,118209,3585,0,47,Dec
